[2026-08-10 11:38:10] [127.0.0.1] login: success
[2026-08-10 11:50:36] [127.0.0.1] save_blog: success {"lang":"tr","slug":"test-blog-yazisi"}
[2026-08-10 11:52:29] [127.0.0.1] save_blog: success {"lang":"tr","slug":"hata-test"}
[2026-08-10 11:52:29] [127.0.0.1] delete_blog: success {"lang":"tr","slug":"hata-test"}
[2026-08-10 11:53:13] [127.0.0.1] save_blog: success {"lang":"tr","slug":"hata-test"}
[2026-08-10 11:53:13] [127.0.0.1] delete_blog: success {"lang":"tr","slug":"hata-test"}
[2026-08-10 11:53:31] [127.0.0.1] save_blog: success {"lang":"tr","slug":"hata-test"}
[2026-08-10 11:53:31] [127.0.0.1] delete_blog: success {"lang":"tr","slug":"hata-test"}
[2026-08-10 11:53:48] [127.0.0.1] save_blog: success {"lang":"tr","slug":"hata-test"}
[2026-08-10 11:53:48] [127.0.0.1] delete_blog: success {"lang":"tr","slug":"hata-test"}
[2026-08-10 11:54:08] [127.0.0.1] save_blog: success {"lang":"tr","slug":"hata-test"}
[2026-08-10 11:54:08] [127.0.0.1] delete_blog: success {"lang":"tr","slug":"hata-test"}
[2026-08-10 11:54:48] [127.0.0.1] save_blog: success {"lang":"tr","slug":"hata-test2"}
[2026-08-10 11:54:48] [127.0.0.1] delete_blog: success {"lang":"tr","slug":"hata-test2"}
